,0
X_Maximum,286.3321554770318
Y_Maximum,1711478.0565371024
Pixels_Areas,7268.031802120141
X_Perimeter,355.6148409893993
Y_Perimeter,207.15547703180212
Sum_of_Luminosity,808615.6925795053
Minimum_of_Luminosity,53.40282685512368
Maximum_of_Luminosity,135.85865724381625
Length_of_Conveyer,1382.5159010600707
Steel_Plate_Thickness,40.24734982332156
Edges_Index,0.12644699646643126
Empty_Index,0.44960777385159006
Square_Index,0.5932530035335692
Outside_X_Index,0.10817279151943467
Edges_X_Index,0.5658508833922259
Edges_Y_Index,0.5246918727915195
Outside_Global_Index,0.26855123674911663
LogOfAreas,3.599567137809189
Log_X_Index,2.048011307420494
Log_Y_Index,1.825002826855123
Orientation_Index,-0.3280713780918728
Luminosity_Index,-0.10907385159010606
SigmoidOfAreas,0.9158699646643109
