,0
X_Maximum,746.584
Y_Maximum,1445963.75
Pixels_Areas,583.512
X_Perimeter,52.184
Y_Perimeter,43.112
Sum_of_Luminosity,61552.412
Minimum_of_Luminosity,94.804
Maximum_of_Luminosity,130.184
Length_of_Conveyer,1486.63
Steel_Plate_Thickness,100.434
Edges_Index,0.3888644
Empty_Index,0.4186427999999997
Square_Index,0.5103224
Outside_X_Index,0.019853799999999998
Edges_X_Index,0.6256006000000003
Edges_Y_Index,0.8374429999999995
Outside_Global_Index,0.611
LogOfAreas,2.2643111999999976
Log_X_Index,1.214075400000001
Log_Y_Index,1.2994936
Orientation_Index,0.131946
Luminosity_Index,-0.12263200000000007
SigmoidOfAreas,0.5270244
