,X_Maximum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
X_Maximum,57593.633962358734,-86700603.19260456,-349303.66662907525,-15539.488634939731,-8064.197215748186,-38068097.53227828,4246.33380948801,2211.844986592484,2606.643635816857,204.7402450943539,26.172657738766514,-9.75450649199308,7.642827013006542,-2.2299973134852014,20.454340485677765,28.00764809914042,34.635660226048145,-87.72956174097187,-55.971492776232395,-35.525749169235404,32.66325428915121,19.371004404430746,-33.45988147758316
Y_Maximum,-86700603.19260456,2634278420066.174,-754411186.8209537,-38584595.74765054,-29519236.093927763,-97992070680.48253,-4665083.707252588,-8053964.7969450895,-10797723.415795794,-325686.39701275603,-55558.11072890762,14531.109717998648,-93632.70700478033,3191.9849199834584,6707.550607751291,-38623.70670804948,-133538.20140716244,183163.59125470134,137803.08785751453,46364.04040232192,-141235.618717936,-57051.38058552613,95439.93972120776
Pixels_Areas,-349303.66662907525,-754411186.8209537,28362934.22948149,1395370.6576823795,857469.9276620806,3373269716.623287,-130039.29654411956,-4383.885559982957,30347.182116632837,-158.48307144826225,-476.93691958499346,368.75232741147255,529.9780507906672,228.20414767686628,-931.4997395672003,-654.2398674711179,290.15632283286976,2816.5250677154595,1451.628318433452,1686.89190168283,371.9958806468185,-158.52225863594214,605.0511045046737
X_Perimeter,-15539.488634939731,-38584595.74765054,1395370.6576823795,74685.83339598529,45819.84023757612,166734112.85989776,-6114.624439265218,45.13685687792904,2140.323522040948,1.372202591283866,-22.568996019096314,22.28836789840364,32.946680416259426,11.610666788211411,-52.15125054507182,-33.65194640377917,22.92826980427535,135.71102524120982,69.40658273939299,86.51528442598298,26.979836240382927,-5.827869680224543,28.834169596270975
Y_Perimeter,-8064.197215748186,-29519236.093927763,857469.9276620806,45819.84023757612,28599.259429115635,103157361.67562592,-3579.286256672433,186.00786908252513,1535.5826253665132,-4.613061674560805,-12.424967971079859,13.374031056562155,22.388945276044396,6.618315238202633,-32.586999783224336,-19.547010434052588,19.01128987795404,79.72314023381696,39.18799717189183,52.72424246673183,20.91530404480866,-2.337009399042679,16.394522416860895
Sum_of_Luminosity,-38068097.53227828,-97992070680.48253,3373269716.623287,166734112.85989776,103157361.67562592,403476845934.72455,-14678207.361539232,10270.49185524898,3727267.818735431,-38801.98042753681,-53411.28998727413,43540.79346126355,69465.52897982727,26038.0088674924,-112302.15084174876,-74739.59113548609,44593.87185800566,321540.3212813511,162501.46224143167,197432.13753349616,54471.507460248606,-14263.372791223712,67039.13971201038
Minimum_of_Luminosity,4246.33380948801,-4665083.707252588,-130039.29654411956,-6114.624439265218,-3579.286256672433,-14678207.361539232,1435.624389143674,454.16352153973406,-143.80075432924838,-2.688644964037794,4.151370717740522,-2.060208461769792,1.1109970127559317,-1.5074099228128215,4.217814536501018,4.825913923765128,3.304557301456032,-23.060082105355484,-13.287032939879213,-11.310913908728654,2.997309351427211,4.691634464827205,-7.15036338997068
Maximum_of_Luminosity,2211.844986592484,-8053964.7969450895,-4383.885559982957,45.13685687792904,186.00786908252513,10270.49185524898,454.16352153973406,359.47640528281124,-7.73533318296864,-7.269879457684892,1.958657729995239,-0.34975279803523546,2.293220638799088,-0.3561765543944065,-0.05243604490890418,1.5635087762824849,3.8395108137232774,-6.090219554920682,-4.447024991855249,-1.7853542089567198,3.952614698142997,2.9513196664411194,-2.9104641894093217
Length_of_Conveyer,2606.643635816857,-10797723.415795794,30347.182116632837,2140.323522040948,1535.5826253665132,3727267.818735431,-143.80075432924838,-7.73533318296864,2489.101696614294,40.58115931132993,1.0880526188507127,0.4037966844598155,3.902722558454255,-0.29132066511289884,-2.6184305992030663,0.06847087437034814,4.977984111470304,1.110104957020776,-0.943120393203518,2.477846054181394,5.153582344685867,-0.4766415520136328,0.0795183870886901
Steel_Plate_Thickness,204.7402450943539,-325686.39701275603,-158.48307144826225,1.372202591283866,-4.613061674560805,-38801.98042753681,-2.688644964037794,-7.269879457684892,40.58115931132993,6.67618976016842,-0.022884006215071567,-0.018331716913515272,-0.00033230584166604206,0.007042214871062322,0.015515738165050245,0.042250244342530614,0.07518231711901376,-0.051179785981004026,-0.04349216850863341,-0.011770205247725717,0.06357090945542938,-0.054797270881888585,0.016415256998220683
Edges_Index,26.172657738766514,-55558.11072890762,-476.93691958499346,-22.568996019096314,-12.424967971079859,-53411.28998727413,4.151370717740522,1.958657729995239,1.0880526188507127,-0.022884006215071567,0.031375943067187974,-0.010696410437561085,0.008443116755507102,-0.006520079745131948,0.016943486855499585,0.024762173503871873,0.025106128611883764,-0.08947476259905267,-0.05723079180988896,-0.04014206970779139,0.024750063472796534,0.017143529440518245,-0.030312741349397276
Empty_Index,-9.75450649199308,14531.109717998648,368.75232741147255,22.28836789840364,13.374031056562155,43540.79346126355,-2.060208461769792,-0.34975279803523546,0.4037966844598155,-0.018331716913515272,-0.010696410437561085,0.015879080081196893,0.0031617973524547005,0.005883628368293107,-0.017160476070721502,-0.014904878660000509,-0.0015512085557476889,0.055166064653534845,0.0351878412593038,0.03445394586447135,-0.0006150347268375802,-0.0044720623671152555,0.016977513922261486
Square_Index,7.642827013006542,-93632.70700478033,529.9780507906672,32.946680416259426,22.388945276044396,69465.52897982727,1.1109970127559317,2.293220638799088,3.902722558454255,-0.00033230584166604206,0.008443116755507102,0.0031617973524547005,0.06493791767711703,-0.004609752595293589,-0.036791575188832915,0.0015846622053479695,0.0701420983384708,-0.0020322707697416247,-0.024244503154650026,0.024275258360273666,0.07252356007330273,0.016202674141042026,-0.013461125600957328
Outside_X_Index,-2.2299973134852014,3191.9849199834584,228.20414767686628,11.610666788211411,6.618315238202633,26038.0088674924,-1.5074099228128215,-0.3561765543944065,-0.29132066511289884,0.007042214871062322,-0.006520079745131948,0.005883628368293107,-0.004609752595293589,0.0051917024840237545,-0.0026865070148860983,-0.0078947694063103,-0.008767135303110041,0.03156268201050045,0.022657260486053682,0.015488560325414123,-0.00931905953762875,-0.003908209605167531,0.008421831023857856
